F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39
-3512.012234694608,-5931.8436615729925,8787.061307116726,784.845989038893,-7120.984576120745,2800.9948458382405,893.3552397224629,394.17574444998115,2405.0306890983366,2370.38369525426,3040.570896071458,1231.6548320853803,-3753.52439650973,1641.6325915525633,-1962.818082502652,246.84608113184802,1483.3661694134698,-507.25774909447983,481.1474229743301,-1339.801922857873,-556.6447945820026,1374.1436840310187,1566.2093225027454,2070.6963442382016,-104.02976310603206,2069.705432443924,2336.5182493220577,1491.1060145732943,-2411.1019997420167,-261.9414315456926,-114.70780435626804,193.3417436980523,1257.7313307084564,50.607560440103306,127.42920835611531,-437.2903489261457,-1488.9077772533315,-1589.778718755867,847.1910661532359,-1590.3609278842773
-7390.322103460221,-5349.519952574029,5754.507084986053,2120.461680109763,-9342.061963629203,3509.5370047497327,-481.82265849974414,2544.9364053491036,3925.545848663784,1784.773354342543,3581.106868942061,221.81665627267785,-1266.047688236379,3101.910085668225,-1342.8266659430524,736.3901277374874,2364.8949705655937,1402.6209089133256,-1954.2454898067979,-2042.2369018529184,-451.10337308777207,1821.8684321692845,-1032.0532536194098,1505.1385056113813,1727.4500811904081,3432.9588857519775,1136.887050078948,2779.8605892842747,-576.267071636628,-1326.6005401909392,776.2850611168406,1329.3797612276474,830.6041987125335,-374.0145906329476,-113.33162411622976,353.41160648982395,-7.900851494811853,-2415.383318708797,611.8479329852458,-1475.1100816180551
-3083.5923504491707,-5692.086812614667,6275.60761918394,2326.427808086479,-7466.516443527863,3157.8517307248294,2307.9790157181383,-106.34293999567994,451.6510057962186,142.04124343702858,3965.570936060157,-440.2905761299233,-3963.525006995747,1738.4356461166803,-740.8028376294528,532.3126292949406,561.5328898410339,-795.1447931728393,-804.8868785692248,-448.7266968356394,2456.2554282969977,210.55159471746785,1197.3871504951103,-82.0983731433553,-1393.7486402291422,2835.761770592485,1794.6221278662035,446.2325103931869,-822.1334634332746,1490.0854368569692,415.27918709103,-155.99763838339447,1623.9277566591777,993.8529900772088,383.58783559383085,-1098.4475951112813,328.95641646476855,-407.7467876379516,-36.27501464549809,-277.3399846856723
-1053.0789440081603,2055.1378045271704,9933.926344397476,-2501.177702088177,-4471.729252798327,4415.482557514447,-563.5245408976091,369.3314751555308,3229.530053510094,4766.741110931388,594.5652494015019,1849.4446852404558,-2075.9680079150035,1319.735465305734,-3173.6800000417206,191.1901877329716,2021.7097153668024,-261.23906458489694,862.7209985411862,-933.7712335301397,24.68778398426385,-1088.7693615211708,116.49740212747375,3346.409545556346,1946.3438417915136,-1046.2151751923122,2170.2952705220264,1865.4995389203839,-1468.2167780878779,-509.95201753130095,-2011.2812646559944,-479.3545638563452,1056.9837975115565,1422.9476393176474,33.96802323684137,200.29482200210143,-822.7695254962002,-2888.9389677508366,401.9805215985505,-626.7079135711217
-548.4683057967684,3351.7413609236205,10183.08290344081,-2922.3379976615165,-3812.8695980584507,5655.220644605908,-607.3339961393448,462.6850749309892,3006.333989608732,5102.657971096468,1139.5336209905606,1994.7011917394352,-1829.00305564784,1075.6237616303883,-2445.4959752275595,281.3094794272451,2251.1502849149933,100.93084312378113,555.1851052291752,-469.8441146641527,-166.63305856593402,-1371.575886203097,-196.25862795635848,3116.858889135072,1904.0566582188922,-1592.2748762238846,2562.415332152516,1019.7920701716887,-551.5917341921433,-556.5657398022402,-1846.8799020078584,-399.558700729057,840.4883842434937,1504.7314884710834,-150.0512088118232,-74.42865557623168,-834.6132145555946,-2885.3959267692985,64.56314062515526,-461.5515356648538
2677.259856019773,4945.57961528909,9059.572815400325,-1941.003088387338,-331.2452500938719,5701.546160984862,2636.0731529944364,-1784.2942225946942,1021.7199900086767,3780.4348265361796,1906.7199400014717,1593.495229553636,-994.4007244415654,-405.77814524709106,1983.542078802295,672.4079016084809,2361.5878462269943,-2058.612936883517,1578.843136356038,-1452.7249550815093,-857.5955071835116,-3191.64052779541,-1659.9207775025664,-576.2932386520133,880.7421103586481,-852.3540079995067,2239.888684589378,-1476.9869591494078,956.6877600193702,2116.2504902109763,-1260.8787314233255,145.94887854260713,55.282685951523426,-2259.551632646985,-1976.55095084976,-214.85436769152307,-1057.5753354609185,281.7171364579879,32.28170427504373,336.3642682895586
3061.1575337730847,1152.4631403468456,12088.699974602096,-4807.687345316043,-6279.910954677157,7533.504064584455,885.6815463931796,2849.7795574839365,2563.3960058901603,3044.643426049107,1780.3752037503116,-563.0713373788008,-568.250848509604,225.61092163625412,-107.17540634549918,-1783.117119858121,4247.980915899255,1800.516678763254,1246.0473886372033,1136.0835730326087,-1980.544820960279,754.3924971287411,-1982.879989085014,-720.4370348884165,-28.76402992183207,-2541.757210839198,-1163.325731923446,-397.0550909935649,1937.5389229246418,201.54338781239744,-1013.160005868073,-1486.5584587338062,-1026.9246392138662,649.3288708231715,37.096294165433214,193.68575629049332,-340.2786976442426,-2.041036196088984,415.9794453799984,-771.5571997558862
6928.36290955512,1727.2090128380253,11677.918862011933,-4121.12599318327,-3981.765641104666,7768.746829998618,1485.315081312999,1880.9742373752376,-85.96927414440111,1715.233535132496,779.2777140911246,-1488.9506091009807,345.0231807480734,-439.6403111174175,2407.928033992652,-1252.463668311268,3912.3466766492947,845.4596109414813,1785.5912506970385,808.9487856366294,-646.8177492132014,-626.9582618488884,-1783.0382031330757,-1317.5285775518005,-241.34025882613278,-1492.394472066754,-1274.1975769676246,-1104.0117186192372,2129.6987057743136,533.7082049817839,-818.1037760726502,-1447.5580985901909,-202.5794228015263,-364.47202563054833,358.30339204360746,-28.999712242034704,-682.9231794204471,822.4387189021775,1490.8864011122123,938.0879163760201
821.8933578019436,2721.821330286679,11918.889840112846,-4451.622572641973,-5016.421758680143,6389.478317973865,207.4893623361406,3317.3240957350276,3374.9530526231156,3547.139588966919,1562.9201100689813,168.06599806817064,147.942012340391,-80.95085739444096,-1019.8166795340059,-1550.0093117511194,3586.051489082157,2248.608868612368,222.46114071154656,694.5359755496761,-2047.471216641811,336.12553847677873,-1240.0998332365014,737.5823849015042,265.68203420219845,-3449.664670341085,-2268.8149908707314,-261.34266234602967,2735.367559269285,-595.7504188036353,-828.3717655539316,-1399.9505748457132,-766.4300381397895,316.9882364064641,-333.06045987007514,-96.28649686017815,857.5045829233135,218.52951908581883,-1767.8717154672734,-65.07008625474752
-1325.6649740063451,-128.6979154748106,12422.018163299825,-1673.3981251203766,-4200.501070475231,5496.600176599413,2492.0256141775385,2156.441046532362,3185.0749814698197,1911.9620732068415,542.0192130880739,2190.181511147789,-1069.8308595332162,-92.17800141819478,-885.4056955412199,-814.7939434455449,4914.053476420494,-206.84300542814623,-103.54227039155452,253.73138845373734,-2449.6689612265486,872.7884589162257,695.5938980631328,953.4287157976917,1034.3085061949675,-2657.728199448545,-949.4540397754366,-200.2786712353536,-747.0349847656915,-1348.271106376575,-736.9572672586467,206.66995014811926,-746.524649622465,1568.219787157314,-160.68525442240178,-134.3485534820772,771.9275358332388,-891.602075956149,-1209.017594558415,769.4253130134464
-4211.007566526573,-5611.702809092347,10000.869566431682,2798.9815487173087,-3265.5641488785823,3507.60033897735,4479.060236546649,-47.42619874222592,357.52893672055876,575.9467983380879,2270.752612389433,1757.1777405449955,-2989.4865165226147,54.21617527810032,-383.4985446028381,-499.7424268716844,3970.7781185717135,-1131.5097678781578,145.2879419930878,-452.2668290693543,-758.3969870352147,-335.71099575935585,1220.1648720442108,225.23992314637795,-670.5458464856426,-973.2946050767723,841.8353995445987,-576.4711005461137,-2162.7385726419498,-846.320426649068,-1148.3164043596228,-403.76722565085885,-148.27059760585158,461.07179041755074,-39.74645005014955,-85.13077560219449,-672.4904622513384,-621.5142591441946,-49.39100578795955,1462.7202988748793
2020.0242503156946,-2671.7620703085076,11823.346706753973,-1226.6641770899832,-3747.4926204252106,6418.696134195284,3947.623526904936,293.9053187266319,-428.8891438569132,683.1588910026138,960.7587241432545,866.3051229724097,-2596.1439211781694,-172.44889873979292,1452.0869973834144,-2003.7870676951827,4638.274557009634,-560.219636089108,1047.6867967872302,1436.2201396904368,-773.0606296633346,-713.4845013144592,-103.07490424048687,-324.8804928505474,-521.4460402484053,-1229.6684213948404,921.0926440089588,-565.6071950941677,-531.3733966207699,-984.5795832155284,-1979.7138182469778,-798.335599897158,-346.6853551298299,641.0666834349462,469.6183865150277,574.2396276196695,162.22292522087656,-646.1018631443615,149.55575288354484,1172.6806629751893
